food_id,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20,N_21,N_22,N_23,N_24,N_25,N_26,N_27,N_28,N_29,N_30,N_31,N_32,N_33,N_34,N_35,N_36,N_37,N_38,N_39,N_40,N_41,N_42,N_43,N_44,N_45,N_46,N_47,N_48,N_49,N_50,N_51,N_52,N_53,N_54,N_55,N_56,N_57,N_58,N_59,N_60,N_61,N_62,N_63,N_64,N_65,N_66,N_67,N_68,N_69,N_70,N_71,N_72,N_73,N_74,N_75,N_76,N_77,N_78,N_79,N_80,N_81,N_82,N_83,N_84,N_85,N_86,N_87,N_88,N_89,N_90,N_91,N_92,N_93,N_94,N_95,N_96,N_97,N_98,N_99,N_100,N_101,N_102,N_103,N_104,N_105,N_106,N_107,N_108,N_109,N_110,N_111,N_112,N_113,N_114,N_115,N_116,N_117,N_118,N_119,N_120,N_121,N_122,N_123,N_124,N_125,N_126,N_127,N_128,N_129,N_130,N_131,N_132,N_133,N_134,N_135,N_136,N_137,N_138,N_139,N_140,N_141,N_142,N_143,N_144,N_145,N_146,N_147,N_148,N_149,N_150,N_151,N_152,N_153,N_154,N_155,N_156,N_157,N_158,N_159,N_160,N_161,N_162,N_163,N_164,N_165,N_166,N_167,N_168,N_169,N_170,N_171,N_172,N_173,N_174,N_175,N_176,N_177,N_178,N_179,N_180,N_181,N_182,N_183,N_184,N_185,N_186,N_187,N_188,N_189,N_190,N_191,N_192,N_193,N_194,N_195,N_196,N_197,N_198,N_199,N_200,N_201,N_202,N_203,N_204,N_205,N_206,N_207,N_208,N_209,N_210,N_211
food_3,,,,,0.0,,,,,,,,,0.0,9.0,,,5.13,,21.0,704.0,,0.0,,,,,,5.5,,,,,0.049,,176.0,,,,,,,22.0,,,,,,0.008,0.095,0.058,,,,,,,1.8,,23.0,23.0,23.0,0.0,,,,,,,,,,,,0.37,,,,,240.0,0.0,,11.0,,,,,,,,0.001,,,,0.006999999999999999,,0.0,,0.0,,,0.655,,,,,22.0,,,,,188.0,,0.91,0.07,,,,,0.025,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.048,0.0,,0.0,,0.0,,0.0,,0.052000000000000005,,0.006999999999999999,,,,,0.0,0.0,0.0,3.0,,,,3.03,,,,,,,0.0,0.056,,,,,,,,,,,0.22,,,,,,67.0,0.0,0.0,0.247,97.0,0.0,,,,,0.79,0.0,,,6.5,93.3,,0.17
food_10,,,,,0.0,,,,,,,,,0.0,5.0,,,22.84,,25.0,26.0,,0.0,,,,,,9.8,,,,,0.078,,0.0,,,,,,,89.0,,,,,,0.032,0.073,0.112,,,,,,,2.6,,20.0,20.0,20.0,0.0,,,,,,,,,,,,0.26,,,,,22.0,0.0,,27.0,,,,,,,,0.01,,,,0.022,,0.0,,0.0,,,0.665,,,,,22.0,,,,,358.0,,1.09,0.046,,,,,0.027000000000000003,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.073,1.0,,0.001,,0.002,,0.002,,0.102,,0.005,,,,,0.0,0.0,0.0,1.0,,,,12.23,,,,,,,0.0,0.031,,,,,,,,,,,0.33,,,,,,3.0,0.0,0.0,0.3670000000000001,8.7,0.0,,,,,0.1,0.0,,,0.5,74.91,,0.15
food_14,,,,,0.0,,,,,,,,,0.0,160.0,,,11.74,,0.0,0.0,,0.0,,,,,,28.8,,,,,1.743,,0.0,,,,,,,659.0,,,,,,23.879,24.399,16.134,,,,,,,7.5,,22.0,22.0,22.0,0.0,,,,,,,,,,,,2.43,,,,,0.0,0.0,,376.0,,,,,,,,0.214,,,,23.594,,0.027000000000000003,,0.0,,,0.295,,,,,725.0,,,,,659.0,,14.32,24.363000000000003,,,,,0.036000000000000004,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.035,1917.0,,0.0,,0.0,,0.046,,9.626,,6.244,,,,,0.0,0.0,0.0,3.0,,,,2.33,,,,,,,0.0,0.617,,,,,,,,,,,67.1,,,,,,0.0,0.0,0.0,0.101,0.7,0.0,,,,,5.65,0.0,,,0.0,3.42,,4.06
food_21,,,,0.063,,0.031,0.65,0.105,,,,,,,10.0,,,17.71,,0.0,2.0,,0.0,,,,,,,,,,,0.069,,1.0,,0.01,,,,,194.0,,,,,,0.055,0.188,0.233,0.0,,0.0,0.0,,,3.0,,23.0,23.0,23.0,0.0,6.28,0.0,,,5.93,0.199,0.052000000000000005,,0.021,,,0.27,0.042,0.0,0.063,,6.0,0.0,0.042,17.0,,0.0,0.093,0.021,0.005,,0.0,0.028,0.028,0.0,,0.021,0.021,0.0,,0.0,0.0,0.0,0.644,,,0.345,0.042,26.0,,,,,287.0,0.157,1.57,0.028,,0.0,,0.028,0.159,,0.159,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,0.0,0.131,,0.063,0.045,,0.005,,0.012,0.0,0.104,0.005,0.05,0.005,,0.002,0.005,,,0.0,7.0,0.0,,0.66,12.87,,0.0,0.0,0.0,,0.0,,0.101,0.052000000000000005,0.0,0.0,0.01,0.0,0.01,0.05,0.03,,,0.68,,0.031,0.031,0.063,5.0,0.0,0.0,,0.257,12.6,,,,,,0.27,,,,,79.39,,0.16
food_22,,,,,0.0,,,,,,,,,0.0,29.0,,,52.96,,0.0,14.0,,0.0,,,,,,1.5,,,,,0.507,,0.0,,,,,,,245.0,,,,,,0.759,0.8690000000000001,0.414,,,,,,,5.1,,70.0,70.0,70.0,0.0,,,,,,,,,,,,0.91,,,,,13.0,0.0,,33.0,,,,,,,,0.021,,,,0.728,,0.01,,0.0,,,1.342,,,,,107.0,,,,,592.0,,3.17,0.7759999999999999,,,,,0.093,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.175,1.2,,0.0,,0.0,,0.01,,0.373,,0.021,,,,,0.0,0.0,0.0,2.0,,,,10.6,,,,,,,0.0,0.243,,,,,,,,,,,2.2,,,,,,1.0,0.0,0.0,0.4970000000000001,26.0,0.0,,,,,0.5,0.0,,,7.8,40.48,,0.57
food_29,,,,,0.0,,,,,,,,,0.0,62.0,,,32.75,,0.0,10.0,,8.0,,,,,,20.4,,,,,0.02,,2.0,,,,,,,165.0,,,,,,0.8190000000000001,0.13699999999999998,1.813,,,,,,,0.0,,6.0,6.0,6.0,0.0,,,,,,,,,,,,0.0,,,,,2.0,0.0,,12.0,,,,,,,,0.05,,,,0.768,,0.0,,0.0,,,0.113,,,,,84.0,,,,,174.0,,1.54,0.08800000000000001,,,,,0.049,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,92.0,0.206,1.8,,0.07200000000000001,,0.075,,0.29600000000000004,,0.823,,0.349,,,,,0.099,0.056,0.044,46.0,,,,18.46,,,,,,,0.0,0.045,,,,,,,,,,,3.08,,,,,,93.0,0.36,0.0,0.038,13.8,0.1,,,,,0.09,0.0,,,0.3,61.77,,0.66
food_32,,,,0.014,0.0,0.017,0.5,0.032,,,,,,,21.0,,,19.96,,,,,0.0,,,,,,,,,,,0.086,,,,,,,,,215.0,,,,,,0.521,0.011,0.194,0.0,,,,,,5.3,,14.0,14.0,14.0,0.0,,,,,,0.038,0.017,,0.016,,,0.8,0.015,,0.024,,,,0.039,12.0,,,,0.003,,,,0.0,,,,0.521,,0.0,,0.0,,,0.2,,,0.252,0.013,12.0,,,,,193.0,0.036000000000000004,0.44,0.011,,,,,0.0,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.02,0.6,0.018000000000000002,0.0,,0.0,,0.0,,0.1,,0.094,,,,,0.0,0.0,0.0,12.0,,,,,,,,,,,,0.0,0.012,,,,,,,,,,1.1,,0.005,0.014,0.016,60.0,3.0,0.0,,0.037000000000000005,14.7,,,,,,,,,,,78.0,,0.1
food_38,,,,,0.0,,,,,,,,,0.0,18.0,,,14.32,,0.0,374.0,,0.0,,,,,,7.6,,,,,0.23,,0.0,,,,,,,68.0,,,,,,0.087,0.401,0.272,,,,,,,5.4,,49.0,49.0,49.0,0.0,,,,,,,,,,,,0.26,,,,,0.0,5204.0,,22.0,,,,,,,,0.005,,,,0.08199999999999999,,0.0,,0.0,,,1.084,,,,,40.0,,,,,417.0,,2.55,0.28800000000000003,,,,,0.112,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.04,0.6,,0.0,,0.0,,0.019,,0.228,,0.025,,,,,0.0,0.0,0.0,2.0,,,,8.92,,,,,,,0.0,0.067,,,,,,,,,,,0.95,,,,,,31.0,0.0,0.0,0.11,228.3,0.0,,,,,0.73,0.0,,,2.6,80.8,,0.23
food_55,,,,0.073,0.0,0.084,0.86,0.145,,,,,,0.0,82.0,,,7.45,,27.0,416.0,,0.0,,,,,,12.3,,,,,0.109,,0.0,,0.019,,,,,85.5,,,,,,0.017,0.027000000000000003,0.026,0.0,,,,,,3.2,,60.0,60.0,60.0,0.0,0.57,0.0,,,0.32,0.271,0.044,,0.031,,,0.62,0.069,0.0,0.105,,280.0,0.0,0.081,57.0,,0.0,0.7879999999999999,0.021,,,,0.0,,,,0.016,,0.0,,0.0,,,1.0,,,0.245,0.065,61.0,,,24.0,,299.0,0.045,1.93,0.026,,,,,0.001,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.06,0.7,0.044,0.0,,0.0,,0.0,,0.022,,0.003,,,,,0.0,0.0,0.0,7.0,0.34,,0.6,1.48,,,,,,,0.0,0.2,0.065,0.0,0.0,0.16,0.0,0.0,0.0,0.0,,,0.19,,0.017,0.087,0.091,716.0,36.0,0.0,0.0,0.215,23.0,0.0,0.0,,,,0.27,0.0,,,31.3,89.58,,0.58
food_57,,,,0.014,0.0,0.01,0.39,0.049,,,,,,0.0,20.0,,,10.82,,2.0,274.0,,0.0,,,,,,6.1,,,,,0.045,,589.0,,,,,,,111.0,,,,,,0.07200000000000001,0.058,0.081,0.0,,,,,,1.7,,37.0,37.0,37.0,0.0,3.73,0.0,,,4.09,0.033,0.018000000000000002,,0.005,,,0.25,0.008,0.0,0.016,,89.0,1828.0,0.025,21.0,,0.0,0.04,0.002,,,,0.038,,,,0.034,,0.0,,0.0,,,0.35700000000000004,,,0.191,0.009000000000000001,10.0,,,,,182.0,0.01,0.47,0.011,,,,,0.047,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.027000000000000003,0.6,0.015,0.0,,0.002,,0.013,,0.06,,0.004,,,,,0.0,0.0,0.0,8.0,0.0,,0.0,7.82,,,,,,,0.0,0.023,0.011,0.02,0.01,0.09,0.0,0.07,0.0,0.01,,,0.26,,0.008,0.005,0.01,950.0,47.0,0.0,0.0,0.038,60.9,0.0,0.0,,,,0.3,0.0,,,2.6,88.06,,0.08
