food_id,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20,N_21,N_22,N_23,N_24,N_25,N_26,N_27,N_28,N_29,N_30,N_31,N_32,N_33,N_34,N_35,N_36,N_37,N_38,N_39,N_40,N_41,N_42,N_43,N_44,N_45,N_46,N_47,N_48,N_49,N_50,N_51,N_52,N_53,N_54,N_55,N_56,N_57,N_58,N_59,N_60,N_61,N_62,N_63,N_64,N_65,N_66,N_67,N_68,N_69,N_70,N_71,N_72,N_73,N_74,N_75,N_76,N_77,N_78,N_79,N_80,N_81,N_82,N_83,N_84,N_85,N_86,N_87,N_88,N_89,N_90,N_91,N_92,N_93,N_94,N_95,N_96,N_97,N_98,N_99,N_100,N_101,N_102,N_103,N_104,N_105,N_106,N_107,N_108,N_109,N_110,N_111,N_112,N_113,N_114,N_115,N_116,N_117,N_118,N_119,N_120,N_121,N_122,N_123,N_124,N_125,N_126,N_127,N_128,N_129,N_130,N_131,N_132,N_133,N_134,N_135,N_136,N_137,N_138,N_139,N_140,N_141,N_142,N_143,N_144,N_145,N_146,N_147,N_148,N_149,N_150,N_151,N_152,N_153,N_154,N_155,N_156,N_157,N_158,N_159,N_160,N_161,N_162,N_163,N_164,N_165,N_166,N_167,N_168,N_169,N_170,N_171,N_172,N_173,N_174,N_175,N_176,N_177,N_178,N_179,N_180,N_181,N_182,N_183,N_184,N_185,N_186,N_187,N_188,N_189,N_190,N_191,N_192,N_193,N_194,N_195,N_196,N_197,N_198,N_199,N_200,N_201,N_202,N_203,N_204,N_205,N_206,N_207,N_208,N_209,N_210,N_211
food_2,,,,,,,0.89,,,,,,,,41.0,,,17.51,,,,,0.0,,,,,,,,,,,0.077,,,,,,,,,187.5,,,,,,0.004,0.087,0.048,0.0,,,,,,1.5,,23.0,23.0,23.0,0.0,,,,,,,,,,,,0.8,,,,,,,,22.0,,,0.233,,,,,,,,,0.004,,,,,,,0.4,,,0.32299999999999995,,61.0,,,,,290.0,,1.4,0.075,,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.03,0.7,,,,,,0.003,,0.041,,0.002,,,,,,,,50.0,,,,8.73,,,,,,,,0.04,,,,,,,,,,,0.2,,,,,6.0,0.0,0.0,,0.241,5.0,0.0,0.0,,,,,,,,,80.0,,0.33
food_9,,,,0.124,0.0,0.097,0.9,0.425,,,,,,0.0,13.0,,,5.2,,0.0,12.0,,0.0,,,,,,0.0,,,,,0.19,,0.0,,0.022,,,,,71.0,,,,,,0.006999999999999999,0.134,0.069,0.0,,,,,,2.2,,7.0,7.0,7.0,0.0,,,,,,0.248,0.087,,0.042,,,0.5,0.08800000000000001,,0.14,,0.0,0.0,0.134,3.0,,,0.262,0.03,,,,0.0,,,,0.006999999999999999,,0.0,,0.0,,,0.6,,,0.161,0.09,59.0,,,19.0,,533.0,0.219,2.6,0.114,,,,,0.02,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.07,0.8,0.127,0.0,,0.002,,0.002,,0.051,,0.006,,,,,0.0,0.0,0.0,4.0,,,,3.0,,,,,,,0.0,0.15,0.086,,,,,,,,,,0.3,,0.027000000000000003,,0.106,20.0,1.0,0.0,0.0,0.24,4.0,0.0,0.0,,,,1.0,0.0,,,0.0,91.0,,1.1
food_17,,,,0.038,0.0,0.13699999999999998,0.62,0.079,,,0.4,,,0.0,16.0,,,38.06,,0.0,8.0,,0.0,,,,,,23.7,,,,,0.1,,0.0,,0.028,,,,,413.5,,,,,,0.075,0.048,0.07400000000000001,0.0,,,,,,1.8,,27.0,27.0,27.0,0.0,,,,,,0.206,0.028,,0.02,,,0.27,0.027000000000000003,,0.039,,0.0,0.0,0.044,21.0,,,0.384,0.011,,,,0.0,,,,0.075,,0.0,,0.0,,,0.8540000000000001,,,0.107,0.026,27.0,,,,,271.0,0.033,1.36,0.032,,,,,0.017,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.048,0.7,0.033,0.0,,0.001,,0.0,,0.069,,0.005,,,,,0.0,0.0,0.0,14.0,,,,1.7,,,,,,,0.0,0.087,0.028,,,,,,,,,,0.28,,0.019,0.017,0.035,13.0,1.0,0.0,0.0,0.08800000000000001,20.6,0.0,0.0,,,,0.19,0.0,,,1.9,59.68,,0.34
food_30,,,,,0.0,,1.8,,,,,,,0.0,187.0,,,9.2,,363.0,5854.0,,0.0,,,,,,35.3,,,,,0.171,,121.0,,,,,,,116.5,,,,,,0.014,0.306,0.17,0.0,,,,,,3.5,,27.0,27.0,27.0,0.0,,,,,,,,,,,,3.1,,,,,13610.0,0.0,,36.0,,,0.342,,,,,0.0,,,,0.014,,0.0,,0.0,,,0.8059999999999999,,,0.084,,66.0,,,,,397.0,,2.7,0.261,,,,,0.044,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.26,0.5,,0.0,,0.0,,0.009000000000000001,,0.145,,0.006999999999999999,,,,,0.0,0.0,0.0,76.0,,,,0.71,,,,,,,0.0,0.19,,,,,,,,,,,0.7,,,,,10161.0,508.0,0.0,0.0,0.251,35.0,0.0,0.0,,,,3.44,0.0,,,778.4,85.6,,0.41
food_37,,,,0.031,0.0,0.043,0.77,0.208,,,,,,0.0,16.0,,,17.77,,0.0,0.0,,0.0,,,,,,28.8,,,,,0.226,,0.0,,0.008,,,,,206.5,,,,,,0.154,0.154,0.203,0.0,,,,,,2.0,,11.0,11.0,11.0,0.0,,,,,,0.162,0.043,,0.03,,,0.6,0.051,,0.07400000000000001,,0.0,0.0,0.057,43.0,,,0.229,0.013,,,,0.021,,,,0.119,,0.006999999999999999,,0.0,,,0.75,,,0.203,0.045,34.0,,,15.0,,415.0,0.041,1.82,0.12,,,,,0.034,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.034,0.7,0.045,0.0,,0.039,,0.018000000000000002,,0.12,,0.017,,,,,0.0,0.0,0.006999999999999999,13.0,,,,1.7,,,,,,,0.0,0.025,0.036000000000000004,,,,,,,,,,0.75,,0.012,0.02,0.073,0.0,0.0,0.0,0.0,0.16,5.0,0.0,0.0,,,,0.26,0.0,,,0.1,78.89,,0.34
food_42,,,,,0.0,,0.52,,,,,,,0.0,62.0,,,15.9,,155.0,0.0,,0.0,,,,,,8.4,,,,,0.095,,193.0,,,,,,,183.5,,,,,,0.154,0.171,0.103,0.0,,,,,,6.5,,17.0,17.0,17.0,0.0,,,,,,,,,,,,0.86,,,,,129.0,0.0,,20.0,,,0.135,,,,,0.021,,,,0.13699999999999998,,0.0,,0.0,,,0.429,,,0.208,,19.0,,,,,186.0,,1.88,0.124,,,,,0.047,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.09,0.0,,0.0,,0.0,,0.004,,0.09,,0.004,,,,,0.0,0.0,0.0,10.0,,,,9.36,,,,,,,0.0,0.037000000000000005,,,,,,,,,,,0.86,,,,,290.0,15.0,0.0,0.0,0.036000000000000004,43.9,0.0,0.0,,,,0.15,0.0,,,0.0,80.85,,0.17
food_44,,,,,0.0,,,,,,,,,0.0,26.0,,,9.32,,1.0,3.0,,0.0,,,,,,5.1,,,,,0.037000000000000005,,20.0,,,,,,,29.0,,,,,,0.011,0.08900000000000001,0.039,,,,,,,2.8,,11.0,11.0,11.0,0.0,,,,,,,,,,,,0.6,,,,,11.0,0.0,,8.0,,,,,,,,0.001,,,,0.01,,0.0,,0.0,,,0.1,,,,,16.0,,,,,138.0,,1.1,0.063,,,,,0.026,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.02,0.4,,0.0,,0.0,,0.001,,0.035,,0.002,,,,,0.0,0.0,0.0,2.0,,,,2.5,,,,,,,0.0,0.04,,,,,,,,,,,0.3,,,,,,1.0,0.0,0.0,0.08,53.0,0.0,,,,,0.15,0.0,,,0.0,88.98,,0.06
food_45,,,,1.055,,2.125,3.225,2.25,,,,32.55,,,206.5,,,,,,,,,,,,,,,,,,,1.2825000000000002,,,0.565,,19.0,27.3875,,,,,,,,,6.62,26.79,3.465,,,,,,,21.55,,,,41.1,,,,0.0,1.95,,4.725,1.3250000000000002,25.125,0.49,0.185,,5.755,0.905,,1.33,,,,0.9,338.5,,,2.355,0.395,,,,,,,,,6.4205000000000005,,0.158,,,,3.5,3.285,,,1.08,517.0,,,,,736.5,0.85,,,,,,5.488,,,21.298,,,,,,,,,,,,,,,,,,,,,,,,,,97.8,1.1,,,,,,,2.0125,,1.2745000000000002,,,,,,,,32.6,,,,,,,,,,,,0.4845,0.905,,,,,,,,,,41.435,,0.3,0.565,1.105,,,,,0.3785,,,,,,,0.0,,,,,6.6099999999999985,,4.4925
food_56,,,,,0.0,,,,,,,,,0.0,88.0,,,6.04,,0.0,198.0,,0.0,,,,,,10.3,,,,,0.251,,0.0,,,,,,,116.0,,,,,,7.652,0.629,2.279,,,,,,,1.6,,0.0,0.0,0.0,0.0,,,,,,,,,,,,6.28,,,,,510.0,0.0,,4.0,,,,,,,,0.15,,,,7.47,,0.032,,0.0,,,0.037000000000000005,,,,,3.0,,,,,8.0,,0.84,0.629,,,,,0.0,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.9,,0.0,,0.0,,0.0,,1.73,,0.318,,,,,0.0,0.0,0.0,735.0,,,,0.0,,,,,,,0.0,0.003,,,,,,,,,,,10.9,,,,,,17.0,0.0,0.0,0.009000000000000001,0.9,0.0,,,,,1.65,0.0,,,1.4,79.99,,0.22
food_63,,,,,0.0,,,,,,,,,0.0,16.0,,,13.08,,0.0,17.0,,0.0,,,,,,55.8,,,,,1.324,,0.0,,,,,,,673.0,,,,,,18.764,34.071,4.899,,,,,,,3.7,,34.0,34.0,34.0,0.0,,,,,,,,,,,,5.53,,,,,9.0,0.0,,251.0,,,,,,,,0.017,,,,17.947,,0.8009999999999999,,0.0,,,4.387,,,,,575.0,,,,,597.0,,13.69,33.15,,,,,0.16399999999999998,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.227,0.7,,0.0,,0.0,,0.0,,3.212,,1.39,,,,,0.0,0.0,0.0,2.0,,,,3.59,,,,,,,0.0,0.364,,,,,,,,,,,68.37,,,,,,1.0,0.0,0.0,0.094,0.8,0.0,,,,,9.33,0.0,,,53.9,2.28,,6.45
