food_id,disease_id,related_prob
food_105,disease_78,0.1
food_105,disease_839,0.1
food_105,disease_201,0.1
food_105,disease_861,0.1
food_105,disease_841,0.1
food_105,disease_559,0.1
food_105,disease_1078,0.1
food_105,disease_81,0.1
food_105,disease_1099,0.1
food_105,disease_1273,0.1
food_105,disease_50,0.1
food_105,disease_182,0.1
food_105,disease_290,0.1
food_105,disease_1370,0.1
food_105,disease_681,0.1
food_105,disease_1191,0.1
food_105,disease_727,0.1
food_105,disease_629,0.1
food_105,disease_1026,0.1
food_105,disease_11,0.1
food_105,disease_176,0.1
food_105,disease_305,0.1
food_105,disease_499,0.1
food_105,disease_208,0.1
food_105,disease_419,0.1
food_105,disease_1015,0.1
food_105,disease_27,0.1
food_105,disease_1058,0.1
food_105,disease_128,0.1
food_105,disease_1236,0.1
food_105,disease_155,0.1
food_105,disease_1433,0.1
food_105,disease_557,0.1
food_105,disease_1406,0.1
food_105,disease_1264,0.1
food_105,disease_1203,0.1
food_105,disease_1084,0.1
food_105,disease_741,0.1
food_105,disease_983,0.1
food_105,disease_512,0.1
food_105,disease_502,0.1
food_105,disease_1324,0.1
food_105,disease_515,0.1
food_105,disease_1284,0.1
food_105,disease_798,0.1
food_105,disease_606,0.1
food_105,disease_1021,0.1
food_105,disease_125,0.1
food_105,disease_77,0.1
food_105,disease_847,0.1
food_105,disease_1201,0.1
food_105,disease_1193,0.1
food_105,disease_1373,0.1
food_105,disease_600,0.1
food_105,disease_789,0.1
food_105,disease_388,0.1
food_105,disease_1190,0.1
food_105,disease_1009,0.1
food_105,disease_971,0.1
food_105,disease_1228,0.1
food_105,disease_955,0.1
food_105,disease_79,0.1
food_105,disease_314,0.1
food_105,disease_709,0.1
food_105,disease_271,0.1
food_105,disease_767,0.1
food_105,disease_790,0.1
food_105,disease_1077,0.1
food_105,disease_622,0.1
food_105,disease_1336,0.1
food_105,disease_967,0.1
food_105,disease_353,0.1
food_105,disease_1425,0.1
food_105,disease_1206,0.1
food_105,disease_760,0.1
food_105,disease_920,0.1
food_105,disease_472,0.1
food_105,disease_341,0.1
food_105,disease_169,0.1
food_105,disease_60,0.1
food_105,disease_319,0.1
food_105,disease_573,0.1
food_105,disease_323,0.1
food_105,disease_30,0.1
food_105,disease_263,0.1
food_105,disease_292,0.1
food_105,disease_1118,0.1
food_105,disease_186,0.1
food_105,disease_399,0.1
food_105,disease_1143,0.1
food_105,disease_1364,0.1
food_105,disease_309,0.1
food_105,disease_327,0.1
food_105,disease_407,0.1
food_105,disease_725,0.1
food_105,disease_1005,0.1
food_105,disease_173,0.1
food_105,disease_984,0.1
food_105,disease_1320,0.1
food_105,disease_252,0.1
food_105,disease_434,0.1
food_105,disease_375,0.1
food_105,disease_962,0.1
food_105,disease_1167,0.1
food_105,disease_202,0.1
food_105,disease_794,0.1
food_105,disease_244,0.1
food_105,disease_1388,0.1
food_105,disease_774,0.1
food_105,disease_1391,0.1
food_105,disease_58,0.1
food_105,disease_889,0.1
food_105,disease_453,0.1
food_105,disease_1076,0.1
food_105,disease_647,0.1
food_105,disease_94,0.1
food_105,disease_857,0.1
food_105,disease_1166,0.1
food_105,disease_1025,0.1
food_105,disease_1442,0.1
food_105,disease_885,0.1
food_105,disease_520,0.1
food_105,disease_1276,0.1
food_105,disease_390,0.1
food_105,disease_1393,0.1
food_105,disease_1071,0.1
food_105,disease_948,0.1
food_105,disease_1375,0.1
food_105,disease_517,0.1
food_105,disease_854,0.1
food_105,disease_612,0.1
food_105,disease_400,0.1
food_105,disease_1119,0.1
food_105,disease_832,0.1
food_105,disease_890,0.1
food_105,disease_652,0.1
food_105,disease_1389,0.1
food_105,disease_514,0.1
food_105,disease_260,0.1
food_105,disease_227,0.1
food_105,disease_1023,0.1
food_105,disease_598,0.1
food_105,disease_1160,0.1
food_105,disease_256,0.1
food_105,disease_1052,0.1
food_105,disease_1250,0.1
food_105,disease_536,0.1
food_105,disease_1418,0.1
food_105,disease_134,0.1
food_105,disease_1469,0.1
food_105,disease_836,0.1
food_105,disease_1412,0.1
food_105,disease_1341,0.1
food_105,disease_105,0.1
food_105,disease_31,0.1
food_105,disease_820,0.1
food_105,disease_566,0.1
food_105,disease_1045,0.1
food_105,disease_633,0.1
food_105,disease_1327,0.1
food_105,disease_1274,0.1
food_105,disease_1372,0.1
food_105,disease_1115,0.1
food_105,disease_912,0.1
food_105,disease_41,0.1
food_105,disease_1234,0.1
food_105,disease_886,0.1
food_105,disease_205,0.1
food_105,disease_253,0.1
food_105,disease_763,0.1
food_105,disease_165,0.1
food_105,disease_38,0.1
food_105,disease_1474,0.1
food_105,disease_129,0.1
food_105,disease_1428,0.1
food_105,disease_1271,0.1
food_105,disease_228,0.1
food_105,disease_190,0.1
food_105,disease_848,0.1
food_105,disease_1326,0.1
food_105,disease_1316,0.1
food_105,disease_80,0.1
food_105,disease_1280,0.1
food_105,disease_397,0.1
food_105,disease_1438,0.1
food_105,disease_976,0.1
food_105,disease_441,0.1
food_105,disease_415,0.1
food_105,disease_1195,0.1
food_105,disease_578,0.1
food_105,disease_1056,0.1
food_105,disease_1041,0.1
food_105,disease_363,0.1
food_105,disease_771,0.1
food_105,disease_1311,0.1
food_105,disease_248,0.1
food_105,disease_1073,0.1
food_105,disease_1090,0.1
food_105,disease_20,0.1
food_105,disease_956,0.1
food_105,disease_870,0.1
food_105,disease_1213,0.1
food_105,disease_556,0.1
food_105,disease_1397,0.1
food_105,disease_461,0.1
food_105,disease_534,0.1
food_105,disease_980,0.1
food_105,disease_1204,0.1
food_105,disease_1313,0.1
food_105,disease_1306,0.1
food_105,disease_184,0.1
food_105,disease_1385,0.1
food_105,disease_444,0.1
food_105,disease_448,0.1
food_105,disease_941,0.1
food_105,disease_657,0.1
food_105,disease_460,0.1
food_105,disease_823,0.1
food_105,disease_10,0.1
food_105,disease_1011,0.1
food_105,disease_1142,0.1
food_105,disease_846,0.1
food_105,disease_744,0.1
food_105,disease_478,0.1
food_105,disease_586,0.1
food_105,disease_640,0.1
food_105,disease_122,0.1
food_105,disease_1361,0.1
food_105,disease_312,0.1
food_105,disease_355,0.1
food_105,disease_83,0.1
food_105,disease_1049,0.1
food_105,disease_583,0.1
food_105,disease_1400,0.1
food_105,disease_1107,0.1
food_105,disease_1277,0.1
food_105,disease_1283,0.1
food_105,disease_393,0.1
food_105,disease_716,0.1
food_105,disease_887,0.1
food_105,disease_429,0.1
food_105,disease_1421,0.1
food_105,disease_778,0.1
food_105,disease_1360,0.1
food_105,disease_480,0.1
food_105,disease_704,0.1
food_105,disease_1344,0.1
food_105,disease_1241,0.1
food_105,disease_4,0.1
food_105,disease_1380,0.1
food_105,disease_1478,0.1
food_105,disease_924,0.1
food_105,disease_884,0.1
food_105,disease_757,0.1
food_105,disease_220,0.1
food_105,disease_1318,0.1
food_105,disease_237,0.1
food_105,disease_161,0.1
food_105,disease_347,0.1
food_105,disease_1149,0.1
food_105,disease_362,0.1
food_105,disease_1278,0.1
food_105,disease_648,0.1
food_105,disease_673,0.1
food_105,disease_860,0.1
food_105,disease_696,0.1
food_105,disease_352,0.1
food_105,disease_1113,0.1
food_105,disease_641,0.1
food_105,disease_549,0.1
food_105,disease_286,0.1
food_105,disease_346,0.1
food_105,disease_1351,0.1
food_105,disease_409,0.1
food_105,disease_12,0.1
food_105,disease_130,0.1
food_105,disease_818,0.1
food_105,disease_1212,0.1
food_105,disease_580,0.1
food_105,disease_1216,0.1
food_105,disease_343,0.1
food_105,disease_43,0.1
food_105,disease_742,0.1
food_105,disease_1294,0.1
food_105,disease_446,0.1
food_105,disease_876,0.1
food_105,disease_940,0.1
food_105,disease_773,0.1
food_105,disease_603,0.1
food_105,disease_963,0.1
food_105,disease_473,0.1
food_105,disease_428,0.1
