food_id,disease_id,related_prob
food_10,disease_948,0.1
food_10,disease_899,0.1
food_10,disease_841,0.1
food_10,disease_81,0.1
food_10,disease_201,0.1
food_10,disease_839,0.1
food_10,disease_78,0.1
food_10,disease_1099,0.1
food_10,disease_176,0.1
food_10,disease_50,0.1
food_10,disease_182,0.1
food_10,disease_290,0.1
food_10,disease_1273,0.1
food_10,disease_1370,0.1
food_10,disease_681,0.1
food_10,disease_1191,0.1
food_10,disease_727,0.1
food_10,disease_629,0.1
food_10,disease_11,0.1
food_10,disease_419,0.1
food_10,disease_1021,0.1
food_10,disease_263,0.1
food_10,disease_77,0.1
food_10,disease_559,0.1
food_10,disease_760,0.1
food_10,disease_861,0.1
food_10,disease_1026,0.1
food_10,disease_128,0.1
food_10,disease_1236,0.1
food_10,disease_155,0.1
food_10,disease_1433,0.1
food_10,disease_557,0.1
food_10,disease_1406,0.1
food_10,disease_1264,0.1
food_10,disease_1203,0.1
food_10,disease_499,0.1
food_10,disease_1084,0.1
food_10,disease_741,0.1
food_10,disease_983,0.1
food_10,disease_512,0.1
food_10,disease_502,0.1
food_10,disease_1324,0.1
food_10,disease_515,0.1
food_10,disease_1284,0.1
food_10,disease_798,0.1
food_10,disease_208,0.1
food_10,disease_606,0.1
food_10,disease_305,0.1
food_10,disease_1078,0.1
food_10,disease_920,0.1
food_10,disease_472,0.1
food_10,disease_341,0.1
food_10,disease_600,0.1
food_10,disease_789,0.1
food_10,disease_388,0.1
food_10,disease_1190,0.1
food_10,disease_1009,0.1
food_10,disease_971,0.1
food_10,disease_1228,0.1
food_10,disease_955,0.1
food_10,disease_79,0.1
food_10,disease_314,0.1
food_10,disease_709,0.1
food_10,disease_271,0.1
food_10,disease_767,0.1
food_10,disease_790,0.1
food_10,disease_1077,0.1
food_10,disease_622,0.1
food_10,disease_125,0.1
food_10,disease_1071,0.1
food_10,disease_20,0.1
food_10,disease_289,0.1
food_10,disease_870,0.1
food_10,disease_1373,0.1
food_10,disease_1193,0.1
food_10,disease_1201,0.1
food_10,disease_847,0.1
food_10,disease_169,0.1
food_10,disease_60,0.1
food_10,disease_319,0.1
food_10,disease_573,0.1
food_10,disease_323,0.1
food_10,disease_30,0.1
food_10,disease_292,0.1
food_10,disease_173,0.1
food_10,disease_1118,0.1
food_10,disease_186,0.1
food_10,disease_1058,0.1
food_10,disease_399,0.1
food_10,disease_1364,0.1
food_10,disease_309,0.1
food_10,disease_327,0.1
food_10,disease_407,0.1
food_10,disease_725,0.1
food_10,disease_1005,0.1
food_10,disease_1206,0.1
food_10,disease_1425,0.1
food_10,disease_353,0.1
food_10,disease_967,0.1
food_10,disease_1143,0.1
food_10,disease_1015,0.1
food_10,disease_27,0.1
food_10,disease_1336,0.1
